"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","771.35","784.35","786.80","770.00","7.34M","-1.68%"
"05-02-2020","784.55","781.00","786.00","774.40","6.31M","-0.42%"
"04-02-2020","787.85","770.10","789.90","770.10","5.77M","2.66%"
"03-02-2020","767.40","782.00","790.95","764.50","6.42M","-1.55%"
"01-02-2020","779.50","776.20","790.60","769.90","5.10M","0.46%"
"31-01-2020","775.95","780.55","784.95","771.60","6.09M","-0.61%"
"30-01-2020","780.70","789.70","789.70","778.00","3.86M","-1.14%"
"29-01-2020","789.70","786.60","792.80","784.25","6.83M","1.50%"
"28-01-2020","778.00","781.00","781.80","772.00","5.12M","-0.01%"
"27-01-2020","778.10","779.05","784.80","774.40","3.74M","-0.59%"
"24-01-2020","782.75","775.75","786.50","773.60","7.54M","-0.20%"
"23-01-2020","784.35","777.10","785.50","776.70","12.53M","1.84%"
"22-01-2020","770.20","768.45","778.00","766.00","9.73M","1.01%"
"21-01-2020","762.50","768.45","770.50","760.75","4.45M","-0.77%"
"20-01-2020","768.45","771.60","774.40","762.95","3.89M","0.08%"
"17-01-2020","767.85","770.70","772.90","762.25","3.76M","0.11%"
"16-01-2020","767.00","770.70","772.50","760.25","5.74M","-0.07%"
"15-01-2020","767.55","773.85","773.85","762.15","6.05M","-1.04%"
"14-01-2020","775.65","769.95","776.95","767.20","11.41M","0.27%"
"13-01-2020","773.55","760.00","777.50","755.00","36.95M","4.80%"
"10-01-2020","738.15","740.45","742.90","730.50","9.34M","1.46%"
"09-01-2020","727.55","721.70","731.50","714.30","13.52M","1.30%"
"08-01-2020","718.20","724.95","729.00","708.30","8.64M","-1.33%"
"07-01-2020","727.90","738.00","742.60","725.10","7.90M","-1.48%"
"06-01-2020","738.85","746.10","753.80","736.50","6.52M","-0.96%"
"03-01-2020","746.00","733.90","748.00","733.90","7.88M","1.54%"
"02-01-2020","734.70","738.90","740.80","730.90","5.66M","-0.29%"
"01-01-2020","736.85","735.00","740.00","732.55","2.11M","0.78%"
"31-12-2019","731.15","729.70","737.75","725.45","6.93M","-0.24%"
"30-12-2019","732.90","736.10","737.95","727.25","5.37M","-0.55%"
"27-12-2019","736.95","729.75","737.50","728.85","3.40M","1.10%"
"26-12-2019","728.95","732.00","734.55","726.55","3.82M","-0.61%"
"24-12-2019","733.40","736.95","736.95","728.30","2.89M","-0.35%"
"23-12-2019","736.00","732.15","737.30","731.65","4.98M","0.61%"
"20-12-2019","731.55","731.00","735.00","728.25","7.79M","0.10%"
"19-12-2019","730.85","733.50","735.95","724.60","7.20M","-0.22%"
"18-12-2019","732.45","731.00","737.30","722.75","12.22M","0.38%"
"17-12-2019","729.70","719.70","731.25","715.00","10.53M","2.20%"
"16-12-2019","714.00","712.30","720.20","710.20","5.62M","0.38%"
"13-12-2019","711.30","700.35","712.90","700.35","10.30M","1.31%"
"12-12-2019","702.10","718.50","720.70","699.55","11.11M","-2.63%"
"11-12-2019","721.05","716.60","722.70","713.00","6.04M","0.91%"
"10-12-2019","714.55","713.00","718.50","710.00","4.46M","-0.38%"
"09-12-2019","717.25","716.00","722.35","714.25","6.44M","0.30%"
"06-12-2019","715.10","715.95","720.00","709.60","5.23M","0.03%"
