"Date","Price","Open","High","Low","Vol.","Change %"
"21-10-2024","4,014.34","4,060.35","4,073.25","3,999.13","49.30K","-1.06%"
"18-10-2024","4,057.20","4,044.55","4,081.07","4,025.85","151.72K","0.38%"
"17-10-2024","4,041.80","4,054.15","4,064.24","4,028.07","70.67K","0.28%"
"16-10-2024","4,030.58","4,013.55","4,050.07","4,004.49","97.30K","-0.55%"
"15-10-2024","4,052.92","4,079.99","4,103.61","4,031.27","120.74K","-0.46%"
"14-10-2024","4,071.77","4,079.99","4,101.05","4,057.30","54.61K","-0.34%"
"11-10-2024","4,085.50","4,075.07","4,173.50","4,048.15","285.56K","-1.84%"
"10-10-2024","4,162.08","4,181.42","4,225.96","4,134.13","48.52K","-0.56%"
"09-10-2024","4,185.61","4,207.61","4,227.64","4,179.06","24.75K","0.02%"
"08-10-2024","4,184.62","4,203.87","4,205.83","4,139.05","48.33K","-0.49%"
"07-10-2024","4,205.24","4,198.16","4,229.85","4,162.67","95.25K","0.54%"
"04-10-2024","4,182.46","4,158.73","4,231.57","4,158.39","226.52K","0.39%"
"03-10-2024","4,166.02","4,210.85","4,210.85","4,143.28","89.29K","-1.26%"
"01-10-2024","4,219.07","4,188.27","4,227.83","4,176.55","126.60K","0.42%"
"30-09-2024","4,201.45","4,227.59","4,229.06","4,193.04","52.60K","-0.94%"
"27-09-2024","4,241.47","4,275.23","4,309.78","4,232.66","86.66K","0.41%"
"26-09-2024","4,223.95","4,188.27","4,248.65","4,188.27","66.99K","0.36%"
"25-09-2024","4,208.89","4,191.17","4,221.73","4,173.50","61.27K","0.08%"
"24-09-2024","4,205.39","4,198.06","4,222.72","4,176.80","25.65K","0.11%"
"23-09-2024","4,200.62","4,218.83","4,236.45","4,186.00","53.74K","-0.41%"
"20-09-2024","4,218.09","4,253.18","4,263.27","4,160.31","503.94K","-0.27%"
"19-09-2024","4,229.46","4,328.78","4,351.66","4,215.73","81.46K","-1.14%"
"18-09-2024","4,278.43","4,446.11","4,446.11","4,253.87","68.84K","-3.49%"
"17-09-2024","4,433.02","4,434.49","4,463.87","4,398.66","17.79K","-0.21%"
"16-09-2024","4,442.22","4,458.95","4,473.52","4,425.44","16.63K","-0.20%"
"13-09-2024","4,451.32","4,458.95","4,475.19","4,435.08","126.78K","0.11%"
"12-09-2024","4,446.35","4,430.95","4,459.15","4,362.19","39.66K","0.71%"
"11-09-2024","4,414.90","4,449.11","4,476.67","4,403.44","21.66K","-0.48%"
"10-09-2024","4,436.21","4,383.16","4,468.75","4,371.35","68.75K","1.21%"
"09-09-2024","4,383.16","4,332.07","4,419.58","4,332.07","39.83K","-0.10%"
"06-09-2024","4,387.59","4,409.69","4,446.94","4,370.61","197.57K","-0.51%"
"05-09-2024","4,410.08","4,413.67","4,427.45","4,385.13","26.03K","0.02%"
"04-09-2024","4,409.39","4,408.75","4,416.08","4,368.74","91.07K","-0.72%"
"03-09-2024","4,441.43","4,468.89","4,483.56","4,424.99","73.17K","-0.19%"
"02-09-2024","4,449.94","4,512.94","4,513.98","4,442.96","28.26K","-0.68%"
"30-08-2024","4,480.46","4,442.27","4,508.17","4,418.30","141.42K","0.92%"
"29-08-2024","4,439.81","4,380.21","4,483.56","4,380.21","50.69K","0.08%"
"28-08-2024","4,436.07","4,429.42","4,491.58","4,387.93","72.25K","0.28%"
"27-08-2024","4,423.76","4,430.55","4,440.40","4,415.30","64.24K","-0.15%"
"26-08-2024","4,430.55","4,410.03","4,479.62","4,410.03","155.95K","0.83%"
"23-08-2024","4,393.99","4,429.42","4,433.85","4,383.31","233.21K","-0.80%"
"22-08-2024","4,429.37","4,492.42","4,492.42","4,426.81","81.63K","-1.14%"
"21-08-2024","4,480.31","4,430.46","4,487.30","4,429.42","74.83K","0.64%"
"20-08-2024","4,451.62","4,432.38","4,493.16","4,429.42","53.77K","0.74%"
"19-08-2024","4,418.94","4,348.61","4,422.53","4,321.59","91.88K","1.65%"
"16-08-2024","4,347.28","4,285.66","4,358.45","4,259.38","183.44K","2.91%"
"14-08-2024","4,224.34","4,140.18","4,236.69","4,125.17","115.01K","2.30%"
"13-08-2024","4,129.21","4,145.00","4,166.46","4,117.98","33.90K","-0.03%"
"12-08-2024","4,130.29","4,173.30","4,173.30","4,123.15","46.63K","-0.80%"
"09-08-2024","4,163.71","4,161.64","4,184.82","4,148.89","169.60K","1.42%"
"08-08-2024","4,105.48","4,112.47","4,164.64","4,095.25","65.39K","-0.71%"
"07-08-2024","4,134.92","4,153.86","4,175.47","4,115.42","14.41K","0.72%"
"06-08-2024","4,105.29","4,097.31","4,189.25","4,094.90","69.31K","0.37%"
"05-08-2024","4,090.13","4,134.18","4,167.05","4,046.33","53.46K","-2.98%"
"02-08-2024","4,215.83","4,294.57","4,328.43","4,201.36","311.40K","-2.56%"
"01-08-2024","4,326.81","4,330.74","4,349.69","4,297.18","75.48K","0.25%"
"31-07-2024","4,315.88","4,295.51","4,345.17","4,280.10","49.13K","0.47%"
"30-07-2024","4,295.80","4,312.53","4,328.97","4,259.63","32.03K","-0.36%"
"29-07-2024","4,311.50","4,352.50","4,361.75","4,302.25","65.91K","-0.18%"
"26-07-2024","4,319.13","4,263.12","4,352.15","4,263.12","406.43K","1.50%"
"25-07-2024","4,255.10","4,229.56","4,275.82","4,209.43","57.00K","0.39%"
"24-07-2024","4,238.66","4,213.91","4,270.95","4,210.17","112.85K","0.09%"
"23-07-2024","4,235.02","4,231.52","4,291.62","4,198.65","69.62K","0.38%"
"22-07-2024","4,218.98","4,227.69","4,250.28","4,198.11","90.09K","-0.38%"
"19-07-2024","4,235.27","4,246.63","4,291.86","4,218.93","239.49K","-0.27%"
"18-07-2024","4,246.63","4,094.71","4,256.48","4,094.71","289.93K","3.33%"
"16-07-2024","4,109.86","4,114.44","4,127.58","4,079.65","177.81K","0.18%"
"15-07-2024","4,102.63","4,159.33","4,170.60","4,092.79","158.25K","-0.40%"
"12-07-2024","4,119.26","3,938.40","4,133.14","3,911.77","589.31K","6.68%"
"11-07-2024","3,861.18","3,882.78","3,917.48","3,834.60","551.20K","0.33%"
"10-07-2024","3,848.58","3,915.66","3,940.22","3,841.00","214.48K","-2.05%"
"09-07-2024","3,929.09","3,913.74","3,948.09","3,913.64","46.21K","0.40%"
"08-07-2024","3,913.59","3,952.08","3,963.15","3,848.68","92.00K","-0.91%"
"05-07-2024","3,949.52","3,951.98","3,963.64","3,925.45","305.01K","-0.22%"
"04-07-2024","3,958.18","3,942.14","3,984.26","3,916.94","56.86K","1.42%"
"03-07-2024","3,902.67","3,956.95","3,957.79","3,892.43","40.38K","-1.27%"
"02-07-2024","3,953.01","3,927.42","3,958.92","3,921.51","50.67K","1.07%"
"01-07-2024","3,911.08","3,842.77","3,938.20","3,825.10","155.44K","1.75%"
"28-06-2024","3,843.71","3,865.90","3,897.84","3,835.29","299.22K","-0.73%"
"27-06-2024","3,871.81","3,765.01","3,878.21","3,759.20","200.85K","2.01%"
"26-06-2024","3,795.57","3,780.12","3,804.38","3,780.12","81.41K","0.44%"
"25-06-2024","3,778.89","3,760.09","3,786.56","3,734.20","52.32K","0.57%"
"24-06-2024","3,757.43","3,750.98","3,795.52","3,738.43","31.62K","0.22%"
"21-06-2024","3,749.21","3,788.58","3,816.29","3,737.74","345.41K","0.59%"
"20-06-2024","3,727.21","3,741.39","3,749.60","3,720.81","29.58K","-0.38%"
"19-06-2024","3,741.48","3,761.56","3,772.44","3,734.50","29.71K","-0.36%"
"18-06-2024","3,754.92","3,762.20","3,781.74","3,737.79","40.77K","-0.45%"
"14-06-2024","3,771.85","3,824.36","3,826.04","3,766.44","66.91K","-1.17%"
"13-06-2024","3,816.69","3,798.72","3,828.94","3,793.31","79.60K","1.18%"
"12-06-2024","3,772.29","3,818.80","3,832.24","3,767.17","23.86K","-0.51%"
"11-06-2024","3,791.63","3,801.38","3,817.18","3,781.74","27.09K","-0.11%"
"10-06-2024","3,795.82","3,843.71","3,843.71","3,781.74","36.81K","-0.94%"
"07-06-2024","3,831.84","3,774.85","3,853.60","3,774.85","429.64K","1.62%"
"06-06-2024","3,770.62","3,716.78","3,778.79","3,683.31","101.96K","2.24%"
"05-06-2024","3,687.84","3,656.73","3,724.26","3,641.97","104.81K","0.83%"
"04-06-2024","3,657.52","3,661.61","3,685.13","3,536.94","200.55K","0.23%"
"03-06-2024","3,649.20","3,715.69","3,715.69","3,638.13","51.50K","1.03%"
"31-05-2024","3,611.95","3,690.69","3,690.69","3,597.68","350.82K","-1.77%"
"30-05-2024","3,677.21","3,721.70","3,735.18","3,658.70","169.74K","-1.83%"
"29-05-2024","3,745.76","3,781.74","3,783.96","3,740.94","93.33K","-0.90%"
"28-05-2024","3,779.77","3,823.03","3,823.03","3,771.46","27.10K","-0.17%"
"27-05-2024","3,786.22","3,792.23","3,845.72","3,779.77","99.44K","-0.11%"
"24-05-2024","3,790.35","3,809.45","3,824.07","3,782.19","163.86K","-1.14%"
"23-05-2024","3,834.01","3,775.64","3,843.51","3,767.67","39.38K","1.66%"
"22-05-2024","3,771.26","3,779.77","3,781.20","3,756.15","88.37K","0.25%"
"21-05-2024","3,761.71","3,784.65","3,784.65","3,750.34","90.32K","-2.29%"
"18-05-2024","3,850.00","3,843.15","3,858.90","3,840.00","4.20K","2.02%"
